Price,Close,High,Low,Open,Volume
Ticker,ORCL,ORCL,ORCL,ORCL,ORCL
Date,,,,,
2000-01-03,23.71489143371582,25.132765895096714,22.409945026781195,25.01983784065045,98114800
2000-01-04,21.619441986083984,23.81526459059048,21.079897003262385,23.187886703588624,116824800
2000-01-05,20.477622985839844,21.35595240312464,19.273056927849264,20.402337607215433,166054000
2000-01-06,19.27305793762207,21.07990711927414,19.009559098631144,20.107470927760005,109880000
2000-01-07,20.75367546081543,20.778770594383523,18.78370747571989,19.072301511752993,91755600
2000-01-10,23.238088607788086,23.288278863960414,21.180288104722617,21.682190666445905,91518000
2000-01-11,22.560523986816406,23.037331501554462,21.983335942659814,22.610714251525675,86585200
2000-01-12,21.205387115478516,22.53542914757362,20.8164125589224,22.53542914757362,83443600
2000-01-13,21.092449188232422,22.05861134617049,20.778760175914865,21.78256501533104,55779200
2000-01-14,21.443782806396484,22.359754804563217,21.029713272978647,21.882947463051767,57078000
2000-01-18,22.334667205810547,22.987140629800518,21.20538627967406,21.657098650128656,66780000
2000-01-19,22.93694496154785,23.38865722556083,21.682188672622914,22.53542294909187,49198400
2000-01-20,23.790184020996094,24.191706114177464,23.338471666167052,23.68980349770075,54526800
2000-01-21,23.96584701538086,24.69360572055996,23.689800609968096,24.69360572055996,50891000
2000-01-24,21.757469177246094,24.241886072917794,21.682183816771193,24.191695832601194,50022400
2000-01-25,22.660892486572266,23.087509510128996,22.033514510753545,22.10879986785179,53059200
2000-01-26,22.10880470275879,23.664702423043746,22.083709578238064,22.786373064818367,47569200
2000-01-27,20.803865432739258,22.761285823274438,20.076106569591566,22.409953958306584,61054000
2000-01-28,19.02211570739746,20.854060887661333,18.720974033929426,20.678394911471646,86394000
2000-01-31,20.057273864746094,20.126285442009845,18.896624610764853,19.247956276834852,68148000
2000-02-01,21.682188034057617,21.807663659254708,20.07610003153483,20.5780025323232,57105600
2000-02-02,21.80766487121582,22.48523328493599,21.68218923904542,22.058616135556626,63933000
2000-02-03,22.76127815246582,22.88675377623906,21.782568287034547,22.23428053261821,55533200
2000-02-04,23.212989807128906,23.388655675939614,22.811467821275865,23.13770443478146,40916000
2000-02-07,24.066225051879883,24.091320177064325,23.63960792374437,23.815273800035463,44691200
2000-02-08,23.9156551361084,24.668508917937626,23.68979900155963,24.392462531266908,55718000
2000-02-09,24.066225051879883,24.618317805937608,23.61451279855993,24.116415302248768,52471600
2000-02-10,25.01983642578125,25.14531203473702,23.288273022191575,24.091316919508525,45288600
2000-02-11,23.96584701538086,25.99855236432939,23.589420098908906,25.09512776479671,55774000
2000-02-14,24.969646453857422,24.9947415759216,23.539224496199257,24.442648890509677,37599800
2000-02-15,24.643413543701172,25.37117219214041,23.739989014604184,24.74379404693417,47971400
2000-02-16,24.593223571777344,25.120221219744,24.141511302091637,24.49284306740274,33489200
2000-02-17,24.743799209594727,25.195511568390575,24.09132580244517,24.793989471683155,40392600
2000-02-18,23.514135360717773,24.894367425647847,23.43884997535795,24.768891783381473,63888400
2000-02-22,23.81527328491211,24.66850752272772,22.610707302113607,23.739987910987203,75546200
2000-02-23,25.32098388671875,25.402543051864278,23.940751861179077,24.16660801081284,69664400
2000-02-24,24.8692684173584,26.12402464426851,24.19170005482694,25.371170908122444,70963200
2000-02-25,28.357486724853516,28.50805745082619,24.844169785491133,24.844169785491133,103186600
2000-02-28,27.554460525512695,30.716447798932187,27.40388970296891,28.608456283319192,122316600
2000-02-29,29.81301498413086,29.88830037550493,28.55825846122973,29.461683157718543,55586400
2000-03-01,28.708837509155273,29.91340411793102,28.40769585696134,29.612262465737082,44934400
2000-03-02,27.504257202148438,29.53696234208824,27.253305950304018,29.5118672169038,52311000
2000-03-03,30.11414337158203,30.164333610534666,28.175545392036437,28.558245964050293,47974400
2000-03-06,30.415279388427734,30.892086573559855,29.060143178052243,30.038852663323432,45520600
2000-03-07,30.08904457092285,32.121748999817555,29.863188523267883,30.766612713887753,53982200
2000-03-08,33.37650680541992,33.55217263071161,30.114141478574368,31.067755958729222,62781200
2000-03-09,33.727848052978516,34.12937005360921,32.17195030053456,33.853323678175606,56476400
2000-03-10,32.77423095703125,33.75294076355822,32.222138245657064,33.72784564031394,44699800
2000-03-13,31.61985206604004,33.57727147965204,30.835629544560874,31.519471583290706,65803200
2000-03-14,30.917198181152344,33.627472047681934,30.716437154002,32.87461819586816,72364000
2000-03-15,31.569665908813477,34.12936855006863,30.917192686532754,33.72784656712664,144810400
2000-03-16,32.89971923828125,33.150670567329925,30.791728074272385,32.3978165801839,95532400
2000-03-17,32.046470642089844,32.92479990792629,31.920995032684637,32.82441942040212,66055200
2000-03-20,31.36890411376953,32.372709045410154,31.14304800415039,32.32251879882813,47183600
2000-03-21,32.3978157043457,32.47310110102505,30.515680787362026,31.2685347541555,52621400
2000-03-22,33.75294876098633,33.878424406937945,31.6700530381894,32.52328743066043,53197600
2000-03-23,34.882225036621094,35.333937303282376,33.15066134775285,33.37651748108349,50803800
2000-03-24,34.93242263793945,36.01151327977235,34.70656645709071,34.857137244323205,52821600
2000-03-27,35.50959777832031,35.86092948778779,34.90731484780463,35.76054899936851,32597200
2000-03-28,34.75675582885742,36.136988009786776,34.33013860929744,35.1833730484174,36039200
2000-03-29,33.12557601928711,34.581093753467904,32.94991008585149,34.55599862011996,51966200
2000-03-30,31.4943790435791,33.92860594973621,31.318713184371887,31.51947416632299,70986000
2000-03-31,31.343812942504883,32.74914002399429,30.515673769484337,32.1970472419806,79842000
2000-04-03,30.86699104309082,32.372697923241596,30.114137603015436,31.56965425382785,71598000
2000-04-04,30.49058723449707,31.368916907918795,26.130307784296356,31.368916907918795,123633800
2000-04-05,31.419103622436523,32.52328937274579,29.12917294707923,29.411493167328757,73736800
2000-04-06,33.00009536743164,33.50199795857129,32.171956092051225,32.372717128507084,62408200
2000-04-07,34.98260498046875,35.03279523151677,33.32632669588415,33.60237307664825,46764600
2000-04-10,33.12557601928711,35.18337695381858,33.02519548589533,35.13318668712269,56241200
2000-04-11,31.06775665283203,32.77422470807644,30.841900586696738,32.197036983508475,70983800
2000-04-12,29.361305236816406,32.121769831730774,29.28601983877329,31.293630453256462,67133000
2000-04-13,28.884498596191406,31.11796547287345,28.809213195853808,30.063969868147094,63206800
2000-04-14,25.09512710571289,28.62099246406555,24.19170252990723,28.0751734495163,109951400
2000-04-17,30.038864135742188,30.06395926033345,24.16033120023876,24.29208060434289,115304800
2000-04-18,31.695131301879883,31.745321533553486,29.612236687425387,30.33999504669262,78738800
2000-04-19,29.938486099243164,31.946096231631643,29.813010465968883,31.569669331808804,46184200
2000-04-20,28.432781219482422,30.314915898618505,28.056354283655207,29.637347414129515,50397800
2000-04-24,29.085268020629883,29.18564858325501,26.90199078353342,27.05256162747111,59725600
2000-04-25,30.339998245239258,30.666234785510646,29.16052767656577,30.063951941932697,61764200
2000-04-26,28.984867095947266,31.24342816835874,28.53315488146497,30.565859846635295,47788800
2000-04-27,31.04267692565918,31.143057449266806,28.081451479234133,28.131641741037946,52101000
2000-04-28,32.09666442871094,32.121759553362004,31.36890581383008,31.519476561736465,41696600
2000-05-01,31.99629783630371,32.874627580829696,31.61987080293543,32.07158324297737,37093400
2000-05-02,31.24342155456543,31.92098973285721,31.067755730563857,31.695133673426618,35341000
2000-05-03,30.440391540527344,30.96738925062716,28.95977892643739,30.86700873441767,49603200
2000-05-04,29.81301498413086,30.892105593825832,29.311112374970406,30.239632201917246,39899800
2000-05-05,30.841903686523438,30.917189049468572,29.612242758419573,29.712623242346417,35289600
2000-05-08,29.035062789916992,30.51567532630861,28.93468227897519,30.23962892121865,36528400
2000-05-09,28.909587860107422,29.81301248073578,28.60844631989797,29.58715632557869,43535200
2000-05-10,27.152925491333008,29.36129651096083,27.10273524088692,28.48296712815431,71169800
2000-05-11,29.06015968322754,29.06015968322754,27.303500635018622,27.679927573920533,46590200
2000-05-12,29.787919998168945,30.691344699040116,29.336207647733357,29.436588170052378,39038200
2000-05-15,30.917198181152344,30.917198181152344,28.35749508498551,29.888297917006852,41971800
2000-05-16,31.7955265045166,32.02138265174679,30.94229217053589,31.16814831776608,38261400
2000-05-17,31.394010543823242,32.07157911671151,30.61606144161819,31.218344617518873,33993600
2000-05-18,29.33619499206543,31.61985088965136,29.085243794528512,31.44418505137552,46444600
2000-05-19,28.131641387939453,29.712634614915533,27.905785212657158,28.90959043613403,52228800
