Price,Close,High,Low,Open,Volume
Ticker,PFE,PFE,PFE,PFE,PFE
Date,,,,,
2000-01-03,12.060623168945312,12.24980905379234,11.966029846192091,12.131567590515669,12873345
2000-01-04,11.611308097839355,11.918736276559857,11.351176971584861,11.824142932287426,14208974
2000-01-05,11.800498962402344,12.060630180713341,11.658609276110877,11.682257430382812,12981591
2000-01-06,12.226154327392578,12.3916919825458,11.80048574528758,11.824133873072467,11115273
2000-01-07,13.053850173950195,13.19573900641428,12.226159993294203,12.864663542679368,17962163
2000-01-10,13.030200004577637,13.243035514508135,12.888311185942536,13.243035514508135,10413731
2000-01-11,12.86466121673584,13.243034410867244,12.86466121673584,12.959253754609472,9747076
2000-01-12,13.290334701538086,13.361279887070962,13.030202861690505,13.05385176397443,11423252
2000-01-13,13.999778747558594,14.04707654116213,13.10114501018814,13.21938645155989,27705866
2000-01-14,13.999778747558594,14.23626163030209,13.999778747558594,14.165317982533878,17055828
2000-01-18,13.810599327087402,14.094378598595316,13.550467440768966,14.047082306897194,11459615
2000-01-19,13.999778747558594,14.023427644360362,13.739648489331875,13.905186202988613,10596389
2000-01-20,13.769210815429688,13.952484081801437,13.550463439111425,13.905187804070621,8411342
2000-01-21,13.266684532165527,13.83424291958377,13.24303715345904,13.83424291958377,13022802
2000-01-24,13.006559371948242,13.337634975058972,12.62818595011939,13.243042380261436,13734463
2000-01-25,13.195741653442383,13.40857722681079,12.982907601392997,13.053852792515798,9903595
2000-01-26,13.195741653442383,13.243039461736931,13.00655650554027,13.172094270614128,7728771
2000-01-27,13.053850173950195,13.408574537088478,13.053850173950195,13.077497552034853,9058708
2000-01-28,13.313980102539062,13.503166728719226,12.81736692029964,13.053849822695177,11834628
2000-01-31,13.692358016967773,13.81059950842522,12.864667576765655,12.864667576765655,10634544
2000-02-01,13.999778747558594,14.070723916645353,13.432220437501618,13.455869334303387,12345713
2000-02-02,13.621413230895996,13.999785102242356,13.526820643389215,13.97613771602528,7527141
2000-02-03,13.479523658752441,13.85789707472857,13.361283677744149,13.64506297906658,9268876
2000-02-04,13.526817321777344,13.668706168195639,13.361279573629899,13.668706168195639,6965991
2000-02-07,13.999778747558594,13.999778747558594,13.455869334303387,13.574110775675136,13399924
2000-02-08,14.307209968566895,14.354506251328445,13.952485565876945,14.023430750678711,16190178
2000-02-09,13.668705940246582,14.259913260427249,13.668705940246582,14.236264359092486,11812389
2000-02-10,13.243032455444336,13.810590641519216,13.243032455444336,13.810590641519216,11148685
2000-02-11,13.243032455444336,13.455866394892862,12.864659317182273,13.455866394892862,10721288
2000-02-14,13.243032455444336,13.361273870986453,12.699121639686952,12.699121639686952,8846644
2000-02-15,13.455876350402832,13.574117853427506,13.148448138274812,13.266689641299486,8255666
2000-02-16,12.802470207214355,13.300343370748921,12.802470207214355,13.276635996396884,10407091
2000-02-17,12.897300720214844,13.039551044598632,12.755051158420178,12.944716986616692,8953835
2000-02-18,12.897300720214844,12.897300720214844,12.470552034830847,12.897300720214844,10871061
2000-02-22,12.707640647888184,12.826181367585301,12.565391021662176,12.683931741359293,9207006
2000-02-23,12.897300720214844,12.897300720214844,12.49426016803177,12.826175558022952,9581071
2000-02-24,12.541687965393066,12.636521347976691,12.352021962815641,12.470563500397715,9788076
2000-02-25,12.280891418457031,12.612807732508083,12.13864178746072,12.517974390980712,8700770
2000-02-28,12.209761619567871,12.304594919427691,12.11492831970805,12.186053485250204,8546148
2000-02-29,12.186060905456543,12.470560215681136,11.996394190247067,12.470560215681136,12447318
2000-03-01,12.091224670410156,12.304599483594968,11.948975049150096,12.186058005446677,11586833
2000-03-02,12.138638496398926,12.138638496398926,11.94897262735642,12.138638496398926,8803219
2000-03-03,12.375720977783203,12.70763719039581,11.948972215214933,12.70763719039581,10588589
2000-03-06,12.020098686218262,12.352014955674143,11.948974261570894,12.162348298102385,11152585
2000-03-07,11.379972457885742,11.94897153833356,11.379972457885742,11.901554503452532,15320312
2000-03-08,12.304596900939941,12.565387945609945,11.45109858993389,11.759305910875065,19821946
2000-03-09,13.039559364318848,13.039559364318848,12.233476983053265,12.37572663560846,19181957
2000-03-10,13.27663516998291,13.371467711845101,12.89730195217737,13.324051440914007,20526439
2000-03-13,13.015850067138672,13.324058274019773,12.707642622847157,13.324058274019773,12301445
2000-03-14,12.612811088562012,12.968435641973162,12.517977721801099,12.968435641973162,9108036
2000-03-15,13.371475219726562,13.513724112390454,12.802476598712506,12.849892896267136,16351545
2000-03-16,13.845636367797852,13.869343745633408,13.513719351491693,13.727094903083946,19343113
2000-03-17,13.584846496582031,13.774513172541948,13.46630501475445,13.679680597151455,13465377
2000-03-20,13.27663516998291,13.679675760664805,12.89730195217737,13.655966862610063,8288129
2000-03-21,13.916756629943848,14.035296527556923,13.58483973102146,13.679673784361357,14331660
2000-03-22,13.513723373413086,13.703390078439218,13.13439148853998,13.56114119355399,18326109
2000-03-23,13.371475219726562,13.632265618866652,13.205517415695732,13.205517415695732,10665004
2000-03-24,13.22922420501709,13.608557618698141,13.20551681989901,13.371474616442278,9484524
2000-03-27,13.181804656982422,13.466303884453243,13.158097277714154,13.22922094069776,9767734
2000-03-28,13.300342559814453,13.49000916895901,12.992134510601849,12.992134510601849,9288691
2000-03-29,13.798222541809082,13.94047140966624,13.318128227901612,13.371472887879653,14706146
2000-03-30,13.845636367797852,13.964177832511758,13.679678622234126,13.821927464783588,10455785
2000-03-31,13.869342803955078,13.987884260620445,13.537427335363487,13.869342803955078,9122475
2000-04-03,14.414645195007324,14.651728295597298,13.940478993827377,14.035311623991442,20075011
2000-04-04,15.078474998474121,15.173309143389956,14.414643609961477,14.675434076825832,35368340
2000-04-05,14.651714324951172,14.865088301954692,14.55688026003311,14.604298055081317,10348594
2000-04-06,14.556879043579102,14.651713100572302,14.319797714041668,14.462046511764127,10042090
2000-04-07,14.7228422164917,14.95992513488644,14.5805918553834,14.604300757294329,9818537
2000-04-10,15.1021728515625,15.29183947725743,14.699132225197351,14.770257400480265,16211574
2000-04-11,15.1021728515625,15.362964652540345,15.007340301304296,15.078463951408686,13789271
2000-04-12,15.31555461883545,15.552636091096854,14.888804918406631,14.983637507311192,17862033
2000-04-13,15.031044006347656,15.315544638016544,14.770253794222045,15.244419480099323,13212944
2000-04-14,14.390925407409668,14.817674971242921,13.987884745803294,14.770258691967816,14472369
2000-04-17,14.414645195007324,14.746560925761363,14.035311623991442,14.130145779335317,14601378
2000-04-18,15.007343292236328,15.031050671936448,14.414635922050914,14.414635922050914,14987248
2000-04-19,15.67116928100586,16.12162765241859,14.936213293719305,15.054754729589233,21162950
2000-04-20,15.74229907989502,15.979382021398942,15.457799855126071,15.979382021398942,11451394
2000-04-24,16.500957489013672,16.78545659828858,15.647460161188947,15.742292689221195,15705022
2000-04-25,16.47724723815918,16.59578865103132,16.00308311184866,16.35870735046508,10930718
2000-04-26,16.500957489013672,16.500957489013672,16.12162585170652,16.216458379738764,10977094
2000-04-27,16.216461181640625,16.52466923876528,15.931962023209572,15.931962023209572,10821945
2000-04-28,15.979374885559082,16.263873983280508,15.837126099287422,16.216457721189954,9442575
2000-05-01,15.860843658447266,16.500967420899023,15.67117696304476,16.0268014449823,8701192
2000-05-02,16.287586212158203,16.40612765424762,15.884545614089866,15.931961885889951,11289499
2000-05-03,16.192750930786133,16.477250065460346,16.026793229324365,16.28758499246307,12143872
2000-05-04,16.311307907104492,16.42984945327562,16.02680850132974,16.121642653374494,6728631
2000-05-05,16.927715301513672,17.046256782868575,15.955674544331917,16.074216025686816,13274287
2000-05-08,17.4967041015625,17.59153662399856,17.046247332224095,17.06995470024407,19277133
2000-05-09,16.9608154296875,17.364644259335208,16.86579589272489,17.317133726773292,11734287
2000-05-10,16.491661071777344,17.174607034210677,16.390704626561234,16.747022930299273,10972245
2000-05-11,16.2303524017334,16.580732089991123,16.081885499695773,16.5569783636878,10377895
2000-05-12,16.378808975219727,16.485705270630323,15.844330554486035,16.105630572387966,8216035
2000-05-15,16.723262786865234,16.818280761049447,16.224414601996433,16.27192358908854,8647121
2000-05-16,16.913293838500977,17.05582074563526,16.438201091733184,16.88953858989855,13044936
2000-05-17,17.10333251953125,17.222105725701343,16.79452187785694,16.913296612187374,14851914
2000-05-18,17.174604415893555,17.317131410027876,17.008322158656338,17.15084915279066,7625479
2000-05-19,16.794525146484375,17.00831787609607,16.65199818823722,16.984562618974557,7669009
2000-05-22,16.699504852294922,17.174597703379572,16.438204701094623,16.88954229836087,9559358
2000-05-23,16.794525146484375,16.913299903931296,16.414451729664655,16.65199818823722,7328673
2000-05-24,16.818286895751953,17.079588712312994,16.485722336639018,16.485722336639018,8767488
2000-05-25,17.352752685546875,17.388384793830962,16.889538334173874,16.937047302499302,10757862
2000-05-26,17.150842666625977,17.269617409060803,16.98456047227393,17.05582470647065,6293961
2000-05-30,16.794525146484375,16.889544646809785,16.604489202154834,16.74701616040199,8749465
2000-05-31,16.913293838500977,17.103329714680022,16.604483247469894,16.628236967912226,7391597
2000-06-01,17.10333251953125,17.53091636737565,17.055823542695283,17.36463418436959,10491305
2000-06-02,16.556978225708008,17.459653437241926,16.438205010699814,17.459653437241926,10964130
2000-06-05,16.2481689453125,16.699506589531037,16.05813147947711,16.651997605112335,10231600
2000-06-06,16.509464263916016,16.651992703377566,16.129390972285435,16.343182103317627,9990655
2000-06-07,16.533222198486328,16.794522342391865,16.438204242186202,16.509466945331106,5864245
2000-06-08,16.818286895751953,16.889551166465075,16.55698660735214,16.628249349904035,6758986
2000-06-09,17.48340606689453,17.48340606689453,16.77076688382693,16.865784830305188,6991814
2000-06-12,16.86578369140625,17.388385418067287,16.86578369140625,17.127085318816828,5991990
2000-06-13,17.42402458190918,17.62593893240785,17.12709225287964,17.245865490123602,11890806
2000-06-14,17.709083557128906,17.83973368555516,17.435906432645208,17.459660167907593,11655027
2000-06-15,17.863489151000977,17.863489151000977,17.530924628278175,17.625942626724388,8795419
2000-06-16,18.219799041748047,18.2910632659577,17.649688304391283,17.649688304391283,15176651
2000-06-19,17.76847267150879,18.172301491668453,17.76847267150879,18.172301491668453,8754102
2000-06-20,17.578426361083984,17.815972787165695,17.198352996249504,17.720954827997183,11612761
2000-06-21,17.815963745117188,17.934736897877688,17.625926395068458,17.86347270058946,17290132
2000-06-22,17.388391494750977,17.792221701540292,16.913300100251877,17.792221701540292,17932440
2000-06-23,17.435897827148438,17.673442703337113,17.198351422799472,17.483406802386174,15039842
2000-06-26,17.578426361083984,17.62593534066824,17.293370955418016,17.483408401915472,16788217
2000-06-27,17.863489151000977,17.905059716341327,17.459660365362986,17.673451625947493,12328111
2000-06-28,17.667509078979492,17.83972973412981,17.578429535154203,17.72095802780323,13451675
2000-06-29,17.57248306274414,17.744703639098656,17.340875132237027,17.744703639098656,17503040
2000-06-30,18.24355697631836,18.285127525195996,17.38838921632063,17.38838921632063,17022416
2000-07-03,18.124780654907227,18.17228962717358,17.88723426541527,18.17228962717358,6093069
