Price,Close,High,Low,Open,Volume
Ticker,PG,PG,PG,PG,PG
Date,,,,,
2000-03-22,14.511099815368652,14.686124045597879,14.097406180281387,14.574744989997463,15490200
2000-03-23,14.304243087768555,14.479267196740137,14.145130261430749,14.240597957233431,13621800
2000-03-24,14.36789321899414,14.383804507165785,14.033756167389626,14.36789321899414,14311600
2000-03-27,14.065583229064941,14.511099439940303,14.033760642573846,14.32016392099372,11909400
2000-03-28,14.511099815368652,14.542922402683057,14.04967229930978,14.04967229930978,12057600
2000-03-29,14.940705299377441,14.956616593625979,14.542922943163985,14.558834237412523,15731600
2000-03-30,14.765681266784668,15.306665278714277,14.765681266784666,15.004350683812437,16008000
2000-03-31,14.447450637817383,15.147547364760076,14.320160323827801,15.147547364760076,12033600
2000-04-03,15.147546768188477,15.27483707716485,14.447450068818421,14.447450068818421,10071400
2000-04-04,16.165868759155273,16.293159064345474,15.274836622823882,15.49759465690673,27514000
2000-04-05,15.672623634338379,16.19769630432129,15.672623634338379,15.959026908874513,13620000
2000-04-06,15.974934577941895,16.02266844620268,15.529418474174593,15.783999104898765,7827000
2000-04-07,16.14996910095215,16.229525598986395,15.911299606849408,16.1340578013453,7794800
2000-04-10,16.802318572998047,16.802318572998047,16.229512258009475,16.277246117591858,11747000
2000-04-11,16.91370964050293,17.00917742774942,16.229523831903094,16.70686276813554,10197600
2000-04-12,17.64562225341797,18.520743284922016,17.216017383406893,17.29557384081635,20645800
2000-04-13,17.693363189697266,17.788830976692037,17.104645169896187,17.693363189697266,11353400
2000-04-14,16.038589477539062,17.37513860066732,15.7840086921813,17.311493404327877,17381800
2000-04-17,17.566068649291992,17.597891237424765,15.974939242653223,16.006761830785997,15054000
2000-04-18,16.896596908569336,17.536014010123523,16.720757205641938,17.536014010123523,14387600
2000-04-19,16.896596908569336,17.328203452118412,16.768713488258502,16.960538618724755,7923200
2000-04-20,17.631927490234375,17.647912918602678,16.9125832136609,16.9125832136609,8139200
2000-04-24,18.031558990478516,18.15944238757411,17.52002540209615,17.63192337455479,8723200
2000-04-25,16.43302345275879,18.031566590186685,16.22521284489316,18.031566590186685,20658400
2000-04-26,15.537834167480469,16.209222063606166,15.314038202105236,16.177251211409704,24605400
2000-04-27,15.569808006286621,15.921487447907058,15.154186848007923,15.346011997982705,15193000
2000-04-28,15.28207015991211,15.585793311625844,15.12221586953646,15.585793311625844,10627400
2000-05-01,15.2700777053833,15.45790645496535,15.026299966564043,15.298052200001903,7527600
2000-05-02,15.298050880432129,15.361992576902065,15.090240366904837,15.202138335727224,5692200
2000-05-03,15.505863189697266,15.761630005197425,15.425936059853464,15.505863189697264,7259400
2000-05-04,15.457906723022461,15.777615238493452,15.346008742607612,15.48987757456956,6600800
2000-05-05,15.569808006286621,15.569808006286621,15.29805571048901,15.409953714640967,4403000
2000-05-08,15.649735450744629,15.697691739153449,15.361997720291715,15.377983149761322,5588600
2000-05-09,16.049367904663086,16.129295035662405,15.665717675866361,15.665717675866361,8452800
2000-05-10,16.417041778564453,16.57689612889127,16.09733307791081,16.193245688106902,8208000
2000-05-11,16.624845504760742,16.67280178987063,16.177253510401798,16.46499122106112,6666800
2000-05-12,16.401044845581055,16.76870959358141,16.273161454972236,16.62484077914649,4255800
2000-05-15,16.592870712280273,16.6887832597501,16.193235097822654,16.337103919027395,4648000
2000-05-16,16.49696159362793,16.70477215633836,16.33710731461991,16.592874161032746,6308800
2000-05-17,16.624845504760742,16.624845504760742,16.305136937361496,16.496962077801044,6044400
2000-05-18,16.560901641845703,16.704770478502663,16.496959936664833,16.560901641845703,5166400
2000-05-19,16.640827178955078,16.67279802848237,16.385060382736746,16.433016657027682,5963800
2000-05-22,16.592870712280273,16.72075410890671,16.44900189107553,16.672797835171796,6186200
2000-05-23,16.464994430541992,16.67280503985951,16.30514011568236,16.464994430541992,5295400
2000-05-24,16.848636627197266,16.94454916966708,16.464986457318012,16.51294272855292,8813600
2000-05-25,16.8646297454834,16.880615176521772,16.560906555754315,16.784702590291534,6617400
2000-05-26,16.944551467895508,16.992507745634832,16.784697208764417,16.816668060590633,4463400
2000-05-30,16.912582397460938,16.976524107848313,16.816669831879874,16.96053868025147,4370000
2000-05-31,17.00849723815918,17.104409816569852,16.7687157921325,16.880613800278283,4208800
2000-06-01,16.784698486328125,16.976523611886158,16.720756777808777,16.912581903366814,7701000
2000-06-02,16.36907958984375,16.7207590341568,16.241196155548096,16.7207590341568,10462600
2000-06-05,16.193225860595703,16.36906543065153,15.985415459620636,16.36906543065153,7586600
